repo_name,open_issues,closed_issues,total_issues
wildfly_quickstart,44,989,1033
windup_windup,23,1682,1705
woocommerce_woocommerce-blocks,40,11261,11301
woocommerce_woocommerce-gateway-stripe,384,3961,4345
woocommerce_woocommerce-gutenberg-products-block,40,11261,11301
wordpress_gutenberg,7569,61728,69297
wp-graphql_wp-graphql,125,3037,3162
wso2_product-ei,0,5289,5289
wso2_product-is,1266,22709,23975
xcodebuild_codeterminal,7,5,12
xdan_jodit,316,875,1191
zanata_zanata-platform,71,1046,1117
